Josmar Mazucheli;74
Luiz Adauto da Justa Medeiros;73
Licinio Esmeraldo da Silva;73
Jandyra Maria Guimaraes Fachel;73
Eliseo Berni Reategui;73
Renato Nogueira Perez Avila;73
Ricardo Bohrer Sgrillo;73
Paulo Mazzoncini de Azevedo Marques;73
Bruno César Azevedo Scárdua;73
Andre Jalles Monteiro;73
Luzia Aparecida Trinca;73
Decio Barbin;72
Inder Jeet Taneja;71
Giovany de Jesus Malcher Figueiredo;71
Bernd Genser;71
Hermano Frid Neto;71
Nadia Nedjah;71
Nelson Luis Saldanha da Fonseca;71
Alexandre Nolasco de Carvalho;70
Antonio Francisco Iemma;70
Liciana Vaz de Arruda Silveira;70
Andreas Winter;70
Fernando Ferrari Putti;70
Heitor Silvério Lopes;70
Aline de Holanda Nunes Maia;70
Paulo Sérgio Lucio;70
Renato Martins Assunção;69
Daniel Marinho Pellegrino;69
Murilo da Silva Baptista;69
Adriano Mendonça Souza;69
Clovis de Araujo Peres;68
Keti Tenenblat;68
Ieda Maria Giongo;68
João Paulo Papa;68
Julián Bravo Castillero;68
Dimitar Kolev Dimitrov;68
Claudio Cuevas;68
Fábio Luís de Souza Duran;67
Zilma Silveira Nogueira Reis;67
Aloisio Pessoa de Araujo;67
Kevin Ivan Hodges;67
Marcelo Moreira Cavalcanti;67
Flávio Bortolozzi;67
Luiz Alberto Beijo;66
Camila Pires Cremasco Gabriel;66
Xia Changyu;66
Aline França de Abreu;66
Ricardo Alves de Olinda;66
Henri Stuker;66
Renato Portugal;65
Dalton Francisco de Andrade;65
Gilberto Alvarenga Paula;65
I Shih Liu;65
Renato Duarte Carneiro Monteiro;65
Ronaldo Seichi Wada;65
Adriana Sañudo;65
Maria Augusta Soares Machado;64
Claus Haetinger;64
Celina Miraglia Herrera de Figueiredo;63
Jacob Scharcanski;63
Ugo Bruzzo;63
Silvia Lopes de Paula Ferrari;63
Jorim Sousa das Virgens Filho;63
Serguei Popov;63
Sergio Bampi;63
Eliana Cristina Martins Miranda;63
Daniel Panario;63
Dessislava Hristova Kochloukova;63
Dinamérico Pereira Pombo Júnior;62
Pedro Ventura Alves da Silva;62
Cesar Rogerio de Oliveira;62
Lioudmila Bourchtein;62
Artur Oscar Lopes;61
Rejane Sobrino Pinheiro;61
Edda Curi;61
Roberto da Silva;61
Ângela Tavares Paes;61
Artur José Lemonte;60
Cornelis Johannes van Duijn;60
Hernane Borges de Barros Pereira;60
Carolina Bremm;60
Dung Trang LE;60
Flavio Ulhoa Coelho;60
Rodney Carlos Bassanezi;60
Adroaldo Guimarães Rossetti;60
Helio Radke Bittencourt;60
Jorge Passamani Zubelli;59
Alcione Miranda dos Santos;59
Maria Gabriela Miranda Gomes;59
Fritz Colonius;59
Rodrigo da Rosa Righi;59
Valdir Gil Pillat;59
Rosa Maria Vicari;58
Alvaro Rodolfo De Pierro;58
Marcus Vinicius de Azevedo Basso;58
Marcelo da Silva Montenegro;58
Lorenzo Justiniano Diaz Casado;58
Juan Bory Reyes;58
Airlane Pereira Alencar;58
Arnaldo Leite Pinto Garcia;58
Mario Mollo Neto;58
Jose Felipe Linares Ramirez;57
Bernhard Heinrich Ruf;57
Edilson Ferneda;57
José Ruy Porto de Carvalho;57
Juarez Bento da Silva;57
Eduardo Camponogara;57
Diana Francisca Adamatti;56
